date;home_team;away_team;home_score;away_score;city;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;avg_wind_dir_deg;avg_wind_speed_kmh;Gagnant;resultat
19/08/2017;Australia;New Zealand;34;54;Sydney;Winter;11,1;8,2;14,8;0;228;34,6;New Zealand;0
26/08/2017;Argentina;South Africa;23;41;Salta;Winter;17,2;10,7;31;;;8,2;South Africa;0
09/09/2017;New Zealand;Argentina;39;22;New Plymouth;Spring;9,1;;12,9;11,7;;;New Zealand;1
09/09/2017;Australia;South Africa;23;23;Perth;Spring;;13;21,8;0,2;;;South Africa;-1
16/09/2017;Australia;Argentina;45;20;Canberra;Spring;4,3;1,2;14,5;0,5;;22,6;Australia;1
30/09/2017;South Africa;Australia;27;27;Bloemfontein;Spring;20,1;;28,5;;;;Australia;-1
30/09/2017;Argentina;New Zealand;10;36;Buenos Aires;Spring;17,6;14,4;20,2;;60;11,5;New Zealand;0
07/10/2017;South Africa;New Zealand;24;25;Cape Town;Spring;14,5;9,2;21,5;;;11,5;New Zealand;0
21/10/2017;Australia;New Zealand;23;18;Brisbane;Spring;;18,6;20,4;3,8;;;Australia;1
11/11/2017;Ireland;South Africa;38;3;Dublin;Autumn;7,2;7,1;9;1,3;319;11,6;Ireland;1
11/11/2017;France;New Zealand;18;38;Saint-Denis;Autumn;10,9;7,8;12,9;7,6;251;17,6;New Zealand;0
18/11/2017;Italy;Argentina;15;31;Florence;Autumn;-2,4;-3,6;-1,4;0;17;40,6;Argentina;0
18/11/2017;France;South Africa;17;18;Saint-Denis;Autumn;5,6;1,3;9,1;0,8;255;9;South Africa;0
25/11/2017;Ireland;Argentina;28;19;Dublin;Autumn;1,8;0,1;4,4;0;265;28,1;Ireland;1
03/02/2018;France;Ireland;13;15;Saint-Denis;Winter;3,3;0,9;4,6;5,4;217;9,1;Ireland;0
04/02/2018;Italy;England;15;46;Rome;Winter;6,8;2;11,7;;;7,6;England;0
10/02/2018;Ireland;Italy;56;19;Dublin;Winter;7,6;0,3;10,9;1;234;34,1;Ireland;1
23/02/2018;France;Italy;34;17;Marseille;Winter;4,6;-1,8;10,3;0;313;13,8;France;1
24/02/2018;Ireland;Wales;37;27;Dublin;Winter;2;1,7;5,4;0;137;21,2;Ireland;1
10/03/2018;Ireland;Scotland;28;8;Dublin;Spring;7,6;1;13,4;0,1;131;21,2;Ireland;1
10/03/2018;France;England;22;16;Saint-Denis;Spring;13,4;10,3;17,8;16,1;176;12,6;France;1
17/03/2018;Italy;Scotland;27;29;Rome;Spring;11,1;9,9;13,4;;49;8,5;Scotland;0
09/06/2018;New Zealand;France;52;11;Auckland;Winter;10;3,8;16,2;0,3;;;New Zealand;1
09/06/2018;Australia;Ireland;18;9;Brisbane;Winter;;15,6;23,7;0,2;;;Australia;1
09/06/2018;Argentina;Wales;10;23;San Juan;Winter;7,1;-1,4;;;;;Wales;0
16/06/2018;Australia;Ireland;21;26;Melbourne;Winter;;5,8;12,5;0,8;;;Ireland;0
16/06/2018;New Zealand;France;26;13;Wellington;Winter;13,2;;16;0;;;New Zealand;1
16/06/2018;Argentina;Wales;12;30;Resistencia;Winter;6,6;-0,1;15;;;6,1;Wales;0
16/06/2018;South Africa;England;23;12;Bloemfontein;Winter;5,8;;15,9;;;;South Africa;1
23/06/2018;South Africa;England;10;25;Cape Town;Winter;14,3;13;16,9;0;351;27,7;England;0
23/06/2018;Argentina;Scotland;15;44;Resistencia;Winter;21,3;14,2;27,6;;50;12,2;Scotland;0
23/06/2018;Australia;Ireland;16;20;Sydney;Winter;12,7;7;20,3;0;299;13,1;Ireland;0
18/08/2018;Australia;New Zealand;13;38;Sydney;Winter;14,4;5,8;23,6;0;298;22,7;New Zealand;0
25/08/2018;New Zealand;Australia;40;12;Auckland;Winter;12,6;9,7;15,1;1,5;233;27,3;New Zealand;1
08/09/2018;Australia;South Africa;23;18;Brisbane;Spring;;17,5;25;1,2;;;Australia;1
15/09/2018;New Zealand;South Africa;34;36;Wellington;Spring;13;9,5;16,3;0;9;25,6;South Africa;0
29/09/2018;Argentina;New Zealand;17;35;Buenos Aires;Spring;19,3;16,5;21,5;2;117;22,8;New Zealand;0
06/10/2018;Argentina;Australia;34;45;Salta;Spring;18,6;8,5;25,2;;;7,4;Australia;0
06/10/2018;South Africa;New Zealand;30;32;Pretoria;Spring;20,7;10,4;28,6;;;;New Zealand;0
10/11/2018;Ireland;Argentina;28;17;Dublin;Autumn;6,8;5,6;9,9;4,2;174;11,7;Ireland;1
10/11/2018;France;South Africa;26;29;Saint-Denis;Autumn;11,7;10,5;12,8;6;193;20,8;South Africa;0
17/11/2018;France;Argentina;28;13;Lille;Autumn;5,1;0,9;9,2;0,3;55;14,6;France;1
17/11/2018;Ireland;New Zealand;16;9;Dublin;Autumn;10,7;11,8;12,4;0;120;18,3;Ireland;1
24/11/2018;Italy;New Zealand;3;66;Rome;Autumn;16,6;16;17,4;;156;18,7;New Zealand;0
01/02/2019;France;Wales;19;24;Paris;Winter;5,1;1,6;7,2;18,7;169;8,1;Wales;0
02/02/2019;Ireland;England;20;32;Dublin;Winter;0,4;-2,4;5,4;0;278;17;England;0
09/02/2019;Italy;Wales;15;26;Rome;Winter;9,4;3,7;14;;140;6,5;Wales;0
23/02/2019;France;Scotland;27;10;Saint-Denis;Winter;10,2;5,9;16,4;0;69;10,8;France;1
24/02/2019;Italy;Ireland;16;26;Rome;Winter;7,3;1,9;13,6;;22;14,2;Ireland;0
